Country,Name,Continent,Group1,Color
China,China,Asia,,
Italy,Italy,Europe,,
Iran,Iran,Asia,,
Spain,Spain,Europe,,
"Korea, South",South Korea,Asia,,
Germany,Germany,Europe,,
France,France,Europe,,
US,US,North America,,
Switzerland,Switzerland,Europe,,
United Kingdom,United Kingdom,Europe,,
Netherlands,Netherlands,Europe,,
Norway,Norway,Europe,,
Sweden,Sweden,Europe,,
Belgium,Belgium,Europe,,
Austria,Austria,Europe,,
Denmark,Denmark,Europe,,
Japan,Japan,Asia,,
Cruise Ship,Cruise Ship,#N/A,,
Malaysia,Malaysia,Asia,,
Qatar,Qatar,Asia,,
Canada,Canada,North America,,
Australia,Australia,Oceania,,
Greece,Greece,Europe,,
Portugal,Portugal,Europe,,
Czechia,Czechia,Europe,,
Finland,Finland,Europe,,
Israel,Israel,Asia,,
Slovenia,Slovenia,Europe,,
Singapore,Singapore,Asia,,
Bahrain,Bahrain,Asia,,
Estonia,Estonia,Europe,,
Brazil,Brazil,South America,,
Iceland,Iceland,Europe,,
Poland,Poland,Europe,,
Ireland,Ireland,Europe,,
Romania,Romania,Europe,,
Chile,Chile,South America,,
Egypt,Egypt,Africa,,
Thailand,Thailand,Asia,,
Philippines,Philippines,Asia,,
Pakistan,Pakistan,Asia,,
Indonesia,Indonesia,Asia,,
Iraq,Iraq,Asia,,
Kuwait,Kuwait,Asia,,
India,India,Asia,,
Saudi Arabia,Saudi Arabia,Asia,,
San Marino,San Marino,Europe,,
Lebanon,Lebanon,Asia,,
United Arab Emirates,United Arab Emirates,Asia,,
Russia,Russia,Europe,,
Peru,Peru,South America,,
Luxembourg,Luxembourg,Europe,,
Taiwan*,Taiwan*,Asia,,
Slovakia,Slovakia,Europe,,
South Africa,South Africa,Africa,,
Vietnam,Vietnam,Asia,,
Croatia,Croatia,Europe,,
Argentina,Argentina,South America,,
Panama,Panama,North America,,
Serbia,Serbia,Europe,,
Algeria,Algeria,Africa,,
Brunei,Brunei,Asia,,
Colombia,Colombia,South America,,
Mexico,Mexico,North America,,
Bulgaria,Bulgaria,Europe,,
Armenia,Armenia,Asia,,
Albania,Albania,Europe,,
Hungary,Hungary,Europe,,
Ecuador,Ecuador,South America,,
Belarus,Belarus,Europe,,
Costa Rica,Costa Rica,North America,,
Latvia,Latvia,Europe,,
Cyprus,Cyprus,Asia,,
Georgia,Georgia,Asia,,
Malta,Malta,Europe,,
Morocco,Morocco,Africa,,
Sri Lanka,Sri Lanka,Asia,,
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,,
Senegal,Senegal,Africa,,
Moldova,Moldova,Europe,,
Oman,Oman,Asia,,
Afghanistan,Afghanistan,Asia,,
Tunisia,Tunisia,Africa,,
North Macedonia,North Macedonia,Europe,,
Turkey,Turkey,Asia,,
Jordan,Jordan,Asia,,
Lithuania,Lithuania,Europe,,
Venezuela,Venezuela,South America,,
Azerbaijan,Azerbaijan,Asia,,
Martinique,Martinique,North America,,
Burkina Faso,Burkina Faso,Africa,,
Maldives,Maldives,Asia,,
Bolivia,Bolivia,South America,,
Dominican Republic,Dominican Republic,North America,,
French Guiana,French Guiana,South America,,
Jamaica,Jamaica,North America,,
Kazakhstan,Kazakhstan,Asia,,
Reunion,Reunion,Africa,,
Bangladesh,Bangladesh,Asia,,
New Zealand,New Zealand,Oceania,,
Paraguay,Paraguay,South America,,
Uruguay,Uruguay,South America,,
Ukraine,Ukraine,Europe,,
Cambodia,Cambodia,Asia,,
Monaco,Monaco,Europe,,
Ghana,Ghana,Africa,,
Guadeloupe,Guadeloupe,North America,,
Honduras,Honduras,North America,,
Uzbekistan,Uzbekistan,Asia,,
Ethiopia,Ethiopia,Africa,,
Rwanda,Rwanda,Africa,,
Guyana,Guyana,South America,,
Cameroon,Cameroon,Africa,,
Cuba,Cuba,North America,,
Liechtenstein,Liechtenstein,Europe,,
Trinidad and Tobago,Trinidad and Tobago,North America,,
Guam,Guam,Oceania,,
Kenya,Kenya,Africa,,
Puerto Rico,Puerto Rico,North America,,
Seychelles,Seychelles,Africa,,
Guatemala,Guatemala,North America,,
Andorra,Andorra,Europe,,
Aruba,Aruba,South America,,
Congo (Kinshasa),Congo (Kinshasa),Africa,,
Jersey,Jersey,Europe,,
Kosovo,Kosovo,Europe,,
Namibia,Namibia,Africa,,
Nigeria,Nigeria,Africa,,
Saint Lucia,Saint Lucia,North America,,
Sudan,Sudan,Africa,,
Antigua and Barbuda,Antigua and Barbuda,North America,,
Benin,Benin,Africa,,
Bhutan,Bhutan,Asia,,
Central African Republic,Central African Republic,Africa,,
Congo (Brazzaville),Congo (Brazzaville),Africa,,
Cote d'Ivoire,Cote d'Ivoire,Africa,,
Equatorial Guinea,Equatorial Guinea,Africa,,
Eswatini,Eswatini,Africa,,
Gabon,Gabon,Africa,,
Greenland,Greenland,North America,,
Guernsey,Guernsey,Europe,,
Guinea,Guinea,Africa,,
Holy See,Holy See,Europe,,
Liberia,Liberia,Africa,,
Mauritania,Mauritania,Africa,,
Mayotte,Mayotte,Africa,,
Mongolia,Mongolia,Asia,,
Nepal,Nepal,Asia,,
Republic of the Congo,Republic of the Congo,Africa,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,,
Somalia,Somalia,Africa,,
Suriname,Suriname,South America,,
Tanzania,Tanzania,Africa,,
The Bahamas,The Bahamas,North America,,
Togo,Togo,Africa,,
occupied Palestinian territory,occupied Palestinian territory,Asia,,
